ModelArchive ID	Title	UniProtKB
ma-bak-cepc-0001	Predicted interaction between TAF4 and TAF5	A6ZM67; P38129
ma-bak-cepc-0002	Predicted interaction between TAF4 and TAF9	A6ZM67; Q05027
ma-bak-cepc-0003	Predicted interaction between ERB1 and BRX1	A6ZMA9; Q08235
ma-bak-cepc-0004	Predicted interaction between DLT1 and YP153	A6ZMI6; Q06537
ma-bak-cepc-0005	Predicted interaction between ROT1 and SKN1	A6ZMR2; P33336
ma-bak-cepc-0006	Predicted interaction between INP1 and PEX3	A6ZMR6; P28795
ma-bak-cepc-0007	Predicted interaction between NIP1 and TIF5	A6ZN26; P38431
ma-bak-cepc-0008	Predicted interaction between PRT1 and TIF35	A6ZPJ1; A6ZZ25
ma-bak-cepc-0009	Predicted interaction between PRT1 and TIF34	A6ZPJ1; P40217
ma-bak-cepc-0010	Predicted interaction between PRT1 and HCR1	A6ZPJ1; Q05775
ma-bak-cepc-0011	Predicted interaction between SOP4 and NSE4	A6ZQE4; P43124
ma-bak-cepc-0012	Predicted interaction between NOP16 and RPL28	A6ZQU8; P02406
ma-bak-cepc-0013	Predicted interaction between NOP16 and RPL35B	A6ZQU8; P0CX85
ma-bak-cepc-0014	Predicted interaction between NAF1 and SHQ1	A6ZRW0; P40486
ma-bak-cepc-0015	Predicted interaction between TIF35 and TIF34	A6ZZ25; P40217
ma-bak-cepc-0016	Predicted interaction between MDM10 and TOM7	A7A0F9; P53507
ma-bak-cepc-0017	Predicted interaction between CDC123 and GCD11	A7A1A3; P32481
ma-bak-cepc-0018	Predicted interaction between MDM12 and MMM1	B3LJ47; P41800
ma-bak-cepc-0019	Predicted interaction between NCS2 and NCS6	A6ZTX8; B3LNX6
ma-bak-cepc-0020	Predicted interaction between NCS2 and ALB1	B3LNX6; P47019
ma-bak-cepc-0021	Predicted interaction between SNN1 and BLI1	C7GUN6; E7QH95
ma-bak-cepc-0022	Predicted interaction between SNN1 and VAB2	C7GUN6; P40003
ma-bak-cepc-0023	Predicted interaction between TDA2 and AIM21	A6ZVS1; C8Z779
ma-bak-cepc-0024	Predicted interaction between KXD1 and CLN1	E7LUC9; E7QDA1
ma-bak-cepc-0025	Predicted interaction between SEC11 and SPC3	E7QG89; Q12133
ma-bak-cepc-0026	Predicted interaction between CET1 and CEG1	O13297; Q01159
ma-bak-cepc-0027	Predicted interaction between RPN13 and RPN2	O13563; P32565
ma-bak-cepc-0028	Predicted interaction between RPL36B and ERB1	A6ZMA9; O14455
ma-bak-cepc-0029	Predicted interaction between MBF1 and RPS26B	O14467; P39939
ma-bak-cepc-0030	Predicted interaction between CYC1 and CYT1	P00044; P07143
ma-bak-cepc-0031	Predicted interaction between QCR6 and CYT1	P00127; P07143
ma-bak-cepc-0032	Predicted interaction between QCR7 and CYT1	P00128; P07143
ma-bak-cepc-0033	Predicted interaction between COB and QCR7	P00128; P00163
ma-bak-cepc-0034	Predicted interaction between COB and CYT1	P00163; P07143
ma-bak-cepc-0035	Predicted interaction between COB and QCR8	P00163; P08525
ma-bak-cepc-0036	Predicted interaction between COX2 and COX1	P00401; P00410
ma-bak-cepc-0037	Predicted interaction between COX2 and COX12	P00410; Q01519
ma-bak-cepc-0038	Predicted interaction between COX3 and COX1	P00401; P00420
ma-bak-cepc-0039	Predicted interaction between COX3 and COX13	P00420; P32799
